EmployeeID,FirstName,LastName,Role,HireDate
1,Emp1,Worker1,Baker,03/06/2024
2,Emp2,Worker2,Baker,29/08/2023
3,Emp3,Worker3,Baker,20/11/2021
4,Emp4,Worker4,Baker,16/06/2020
5,Emp5,Worker5,Baker,17/02/2021
6,Emp6,Worker6,Baker,04/05/2021
7,Emp7,Worker7,Baker,03/05/2021
8,Emp8,Worker8,Baker,18/02/2021
9,Emp9,Worker9,Baker,04/03/2022
10,Emp10,Worker10,Baker,18/06/2020
11,Emp11,Worker11,Baker,13/12/2022
12,Emp12,Worker12,Baker,28/07/2023
13,Emp13,Worker13,Baker,05/02/2024
14,Emp14,Worker14,Baker,10/11/2024
15,Emp15,Worker15,Baker,11/09/2022
16,Emp16,Worker16,Baker,22/07/2024
17,Emp17,Worker17,Baker,21/06/2020
18,Emp18,Worker18,Baker,11/02/2024
19,Emp19,Worker19,Baker,12/05/2022
20,Emp20,Worker20,Baker,19/12/2021
21,Emp21,Worker21,Baker,26/09/2020
22,Emp22,Worker22,Baker,11/06/2022
23,Emp23,Worker23,Baker,05/06/2021
24,Emp24,Worker24,Baker,31/12/2023
25,Emp25,Worker25,Baker,18/06/2021
26,Emp26,Worker26,Baker,07/07/2024
27,Emp27,Worker27,Baker,18/09/2022
28,Emp28,Worker28,Baker,12/12/2022
29,Emp29,Worker29,Baker,15/03/2022
30,Emp30,Worker30,Baker,17/08/2022
31,Emp31,Worker31,Baker,03/11/2021
32,Emp32,Worker32,Baker,17/04/2023
33,Emp33,Worker33,Baker,16/07/2021
34,Emp34,Worker34,Baker,23/06/2024
35,Emp35,Worker35,Baker,24/04/2022
36,Emp36,Worker36,Baker,16/12/2024
37,Emp37,Worker37,Baker,11/05/2021
38,Emp38,Worker38,Baker,28/02/2020
39,Emp39,Worker39,Baker,12/03/2024
40,Emp40,Worker40,Baker,28/06/2023
41,Emp41,Worker41,Baker,12/05/2020
42,Emp42,Worker42,Baker,09/09/2021
43,Emp43,Worker43,Baker,15/08/2020
44,Emp44,Worker44,Baker,02/05/2020
45,Emp45,Worker45,Baker,21/08/2022
